Feedback,Q1,Q2,Q3,Q5,Q9,Q10,Q12,Q14,Q15,Q16,Q19,Q23,Q24,Q28,Q29,Q30,Q32,Q7,Q13,Q11,Q26,Q25,Q31,Q6,Q21,Q8,Q17,Q22,Q33,Q34,Q27,Q20,Q18,Q4
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,too much clutter and information. the red appears solid in the first 3 columns,too many colors are used. color should encode a variable other than state name. ,first chart is easier to read because the colors help identify trends for the different species
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"There is way too much data plotted.  There are too many axes (are t-Start and t-End really necessary?).  There may be too many colors, but I can't tell because there is no color legend (also a problem) and there are too many data rows plotted.",There are way too many variables/axes displayed.  There are also way too many colors used (there is no way to distinguish some states from others).  The axes labels are too small and difficult to read.  There is also too much data.,"The first is easier to read because of the color.  Even in the black-line version, we can see that there is some sort of grouping of the data rows that pattern similarly, but we can't really see what those rows have in common.  With the addition of color, that mystery is solved."
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,It has too many axes,"The axes labels are too small
There is too much data
The color legend is incorrect
There are too many axes",First chart is easier to read since you can see that you are dealing with different species
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No color legend to determine what the colors in the chart mean? The data is cluttered. Repeated x variables. ,"YES. There to many axis's, to many colors as shown in the legends and on the chart. Hard to read the labels of the y axis. Everything is bad. It hurts my eye.","The first chart is easier to read. It contains a legend that has the colors properly labeled. The chart has the correct color of the lines associated with the legend as well. Correct labeling of the  x and y axis, and title. The variable are correctly labeled as well. The second chart does not have a colorful chart nor does it not have a legend. "
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Heat map together with Parallel coordinate creates consusion,Too many axis and colors are indistinguishable,The right one because of the labels on the x axis is eaiser to read
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"there are too many data points and can't read the first three axes. Also, there are too many dimensions to track","too many axes, colors and data points.",The first one. The color encoding makes it easier to read the chart
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,3,1,1,1,1,"Either the method of displaying data is inconsistent or there are too many lines that cause the red shade on the left 3 axes, which make it hard to read ",there are too many axes and too many colors that makes the chart difficult to read. I think it needs more ticks and dashed lines to make the data labels more visible. the legend is too convoluted and the shade of colors are impossible to differentiate.,"The one on the left because the colors enables me to differentiate between the different species, and distinguish different data points"
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,4,1,1,1,1,1,1,2,1,messy red,messy,messy
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,3,1,1,1,too many data,too many data clustered together and some legend use same color,"left one, colored"
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,1,2,3,"Too much data, hard to read, hard to find blue color","too many color or type of lines, too much data, hard to read, small label","first one, becasue it has different color"
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,3,4,1,4,1,4,2,1,1,too much data and colors,"too much data, too many axes, too many colors",top one because it uses colors which help identify
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,1,1,3,1,4,3,3,1,1,1,Data cluster and no legend is label. no max and min on axis. ,too many legends. too many axis. ,"first one, because the color can be distinct from each data set"
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,3,1,1,1,The left hand side doesn't seem to be a parallel coordinate chart,Labels are too small Too many colors Too many data,The top is easier to read because of colors
CIF,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Colour legend is missing Too much data Data measure labels(expect lowest and highest) are missing on each axis Chart's name is missing Many axes Not clear what for the purple areas on each axis, what they suppose to represent Purpose of squares below each axis is not clear","Too much data Too similar colours (hard to distinguish between some instances) Data measure labels are missing on each axis, but there is a general scale on the left, so it is minor issue if an issue at all. Chart's name is too small Axes labels are too small Too many axes","both are not good for reading, but coloured one is better, as it gives another 'dimension' and shows different species' trends. 1: Axes names are too big and hovering each other, Too much data, hard to follow each instance, Name of the chart is missing, Font sizes are incompatible: name should be bigger, values smaller, x, y axes names are bold for no reason. 2: Colouring is missing, which makes it even harder to read, Too much data, hard to follow each instance, Axes names are not hovering, but font size is still too big, Chart's name is missing and font is too small compared to other marks on the chart."
NF,4,4,3,First one with color,2,4,3,3,1,1,2,4,4,5,3,2,4,Too many data,3,Too many data,4,1,4,4,4,4,2,3,1,1,2,5,1,3
NF,5,4,4,left,1,1,4,1,5,1,4,3,1,5,3,1,4,too cluttered,1,too many data sets,1,4,1,2,4,1,1,1,4,1,4,4,1,1
NF,4,4,3,The first one since it has colors.,1,2,1,1,1,1,2,2,2,2,3,2,4,There are not enough colors,1,There is too much data,1,1,1,1,3,1,2,1,1,1,2,5,1,1
NF,1,2,1,the first one because it uses the color legend,1,1,1,1,2,1,4,4,1,2,1,4,4,this chart is hard to read because it has so many axes and also too much data and corresponding labels,1,too many data,1,4,4,1,4,1,1,1,4,1,4,1,1,1
NF,1,4,3,"the first one, because it uses colors",1,1,1,3,5,2,2,2,2,2,1,4,4,"too many legends,  many of them are very similar and hard to read from plot",2,no legend,5,4,4,1,1,1,1,1,4,1,4,4,1,1
NF,4,1,1,"The first one is easier to read as we can identify different species. However, the axes label is easier to read on the second one as the first one is cluttered",1,1,1,4,5,1,4,1,1,5,1,1,1,"Too much axes, the legend is too many and too many different colors",1,It has too many red data that it overshadowed the other colors,1,3,1,1,4,3,1,1,4,1,4,5,1,1
NF,1,1,1,One on the left is easier because it is in color and provides the additional information about the species.,2,1,4,1,5,1,4,3,1,1,1,3,4,"There are too many datasets and too little variations of colors that represent each state.
The minute difference in colors can bring confusion when reading this chart.
Also, the labels are too small and crowded and hard to read for each axis.",1,"In the first three axis on the left (t-Start, t-End and t-IVR) and some at the bottom on a couple of axes on the right, there displays the two color variation in some areas that doesn't represent parallel coordinates. Judging from the color pattern, the data is not consistent with the rest of the chart and the information could not be valid.",1,3,1,1,1,1,2,1,1,1,2,5,1,1
NF,1,4,1,first one because it has color,4,4,1,4,5,1,2,2,1,5,3,4,1,too many legend categories,1,there is too much data,1,4,4,4,4,1,1,4,1,1,2,4,1,3
NF,1,1,1,First because of the color separation,1,1,1,1,1,1,1,3,1,1,3,2,4,No values on the axis,1,Way too much data,1,4,2,1,4,1,1,1,3,1,2,4,1,1
NF,3,4,4,"1,it has color",1,2,3,3,2,1,1,4,2,2,4,4,4,too many colors,3,too dense with color,3,3,4,1,4,1,3,1,2,1,2,4,2,2
NF,1,1,1,the left as color coded is easier to read and distinguish between lines of data,1,1,1,1,1,1,4,1,5,5,3,2,4,repeated axes,1,data in left is obsecured,5,1,1,1,4,1,1,4,4,1,4,4,1,1
NF,1,4,3,"left, it have color",1,1,1,1,1,1,2,2,2,2,3,4,1,too much color and data,1,too much data,1,4,4,1,4,3,2,4,4,1,2,5,1,1