MasteryLearning,Learn,Recognize,Interpret,Create,FutureUse
With,4,7,6,6,6
With,5,7,7,7,7
With,5,7,7,6,6
With,1,7,7,7,6
With,5,7,6,7,7
With,5,5,7,5,4
With,5,7,7,5,6
With,4,4,4,4,4
With,3,4,4,4,4
With,4,5,5,5,5
With,5,7,5,1,5
With,5,7,7,5,7
With,5,7,6,7,6
With,5,7,6,7,7
Without,3,3,3,3,3
Without,5,6,6,4,3
Without,4,4,3,2,2
Without,4,4,4,4,4
Without,4,4,5,5,5
Without,5,5,7,5,4
Without,5,7,6,6,7
Without,5,7,5,4,6
Without,5,7,5,6,3
Without,3,7,5,4,4
Without,5,6,6,5,7
Without,4,4,3,3,4