IPAddress,RecordedDate,MasteryLearning,Line,Bar,Stacked Bar,Percent Stacked Bar,Pie,Histogram,Scatterplot,Bubble,Stacked Area,Choropleth,Treemap,Area,Q_TotalDuration
198.27.173.91,2021-06-09 11:08:01,Without,3,3,3,3,3,3,3,3,3,3,3,3,92
73.93.55.41,2021-06-09 11:29:10,Without,1,1,2,2,2,2,1,2,3,2,2,2,475
99.110.214.168,2021-06-09 11:50:10,Without,3,2,3,3,2,2,2,3,2,2,3,3,374
173.197.88.133,2021-06-09 11:51:47,Without,1,1,2,2,1,1,1,2,3,3,2,2,387
172.3.143.142,2021-06-09 12:01:24,Without,1,1,2,1,1,1,2,1,3,1,2,2,700
99.174.175.222,2021-06-09 12:30:38,Without,1,1,2,3,1,1,1,2,2,2,1,2,505
73.158.74.241,2021-06-09 20:39:54,Without,1,1,2,3,1,2,2,3,3,3,3,3,598
73.63.251.123,2021-06-11 14:21:41,Without,1,1,1,2,1,1,1,2,2,2,1,1,350
24.7.62.89,2021-06-17 10:01:13,Without,1,1,2,2,1,2,2,2,2,2,1,3,346
72.190.238.172,2021-06-17 10:01:43,Without,1,1,1,1,1,2,1,2,3,3,1,3,288
193.110.203.36,2021-06-17 10:07:35,Without,2,2,2,2,2,2,2,2,2,2,2,2,530
89.208.255.30,2021-06-17 10:43:55,Without,1,1,1,1,1,2,3,3,3,3,3,2,757
50.0.190.238,2021-05-19 13:57:34,With,1,1,1,2,1,1,1,1,2,1,2,2,496
73.71.223.92,2021-05-19 14:10:21,With,1,1,1,1,1,1,1,1,1,1,1,1,389
148.64.110.63,2021-05-19 14:10:31,With,1,1,1,1,1,1,1,1,1,2,2,1,608
72.199.138.21,2021-05-19 14:15:57,With,1,1,2,2,1,1,1,1,2,1,1,2,520
73.189.232.103,2021-05-19 14:20:13,With,1,1,2,2,1,1,1,1,1,1,1,1,479
24.5.42.227,2021-05-19 14:29:37,With,1,1,1,1,1,1,1,1,1,1,1,1,695
69.181.181.85,2021-06-09 11:46:05,With,1,1,2,2,1,1,1,2,3,3,2,2,471
73.71.40.66,2021-06-09 12:08:47,With,1,1,2,3,1,3,2,3,3,3,1,3,649
67.169.152.106,2021-06-09 12:12:33,With,1,1,2,3,2,2,2,3,3,2,3,2,577
18.163.50.202,2021-06-09 12:15:40,With,1,1,2,2,1,1,2,3,2,3,1,2,563
69.181.228.212,2021-06-17 9:57:27,With,1,1,3,3,1,2,1,3,3,3,1,3,400
51.15.125.199,2021-06-17 10:22:36,With,1,1,2,2,1,1,1,2,3,3,3,3,510
73.15.1.195,2021-07-10 14:50:32,With,1,1,1,1,1,1,1,1,1,3,2,1,601
24.5.85.250,2021-07-23 16:03:48,With,1,1,2,3,1,1,1,2,3,2,2,2,1532